sa_2022_code,age_0_years,age_1_years,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_years_and_over
Ireland,57796,56420,59210,60484,61505,64026,66714,69001,70733,72196,74101,75159,76254,75256,73432,70440,67814,68026,66752,64596,307143,295808,332223,382869,411524,373504,340003,307165,272670,238144,202884,154260,96586,84441
147002002/02,6,10,7,5,7,9,12,12,12,9,12,9,10,10,7,7,8,8,8,4,15,10,41,33,37,21,17,18,4,4,2,0,0,2
167070005/01/167070001,3,6,3,3,5,4,4,7,2,3,4,2,3,3,5,3,4,2,3,2,20,14,14,18,18,17,20,16,18,26,17,26,9,6
087064009/03,8,3,5,5,5,3,6,7,5,5,9,6,9,7,8,9,8,7,11,2,29,17,36,38,25,40,36,12,5,3,1,5,0,0
087001012/02,6,5,1,5,3,5,4,4,5,6,9,2,5,8,5,3,0,2,4,1,8,11,26,25,28,16,8,7,4,4,3,1,0,1
167053005/01,5,13,10,8,7,5,11,11,7,7,6,10,4,4,4,7,6,3,2,2,14,17,50,36,37,19,14,12,4,6,3,0,0,0
227032010/01,4,1,2,0,0,2,4,0,2,1,0,1,3,0,2,2,0,0,0,2,7,12,16,18,10,5,13,14,18,8,9,6,2,0
267002002/04,9,10,6,4,7,12,8,6,9,8,5,10,12,12,7,5,9,7,3,4,15,18,48,65,56,40,5,2,2,3,1,2,3,0
187077001/02,0,2,1,1,1,0,1,2,0,3,1,3,0,4,2,1,0,2,1,0,4,4,5,10,8,8,12,16,13,14,18,11,15,4
047303009/01,0,1,3,3,5,0,6,3,6,5,5,5,4,2,9,2,4,8,4,2,15,8,6,18,17,12,26,15,20,10,12,2,6,7
207073001/02,3,2,5,3,2,7,5,6,5,6,5,5,5,4,1,3,4,1,0,0,9,5,12,26,23,18,14,13,6,8,4,6,3,1
267158012/06,13,8,7,12,4,10,10,10,10,14,4,12,8,5,9,9,4,2,5,2,15,35,63,70,37,20,11,2,2,0,0,0,0,1
087023009/01,7,3,6,4,2,4,2,6,5,5,2,4,0,2,2,1,2,5,1,2,7,16,24,29,25,16,8,9,7,7,4,2,2,2
247003002/01,0,1,1,0,4,0,2,3,2,3,1,2,3,4,2,2,6,2,2,1,2,3,2,5,10,20,17,9,5,18,18,9,14,9
247002015/02/247002020,1,0,0,0,1,0,0,1,0,1,0,0,1,2,3,0,2,1,2,0,8,3,2,8,9,5,6,15,11,11,5,3,3,1
067055002/01,4,2,1,2,4,4,6,2,6,2,6,3,5,5,4,3,2,6,1,5,7,6,12,12,16,12,12,10,4,3,1,0,1,0
267092056/02,2,3,5,6,8,4,4,5,2,4,5,4,5,5,3,4,6,2,4,0,11,13,13,19,22,20,15,15,9,8,2,6,2,1
267065006/01,10,17,12,10,5,9,5,4,6,5,5,6,5,5,1,6,0,2,1,0,4,9,32,52,50,18,6,3,4,5,4,2,1,0
267069001/06,10,7,6,6,3,4,4,6,6,1,3,2,4,1,0,1,1,2,2,1,20,91,109,45,31,14,9,10,3,1,0,0,0,1
267092008/01,11,9,6,7,12,6,9,3,8,6,7,3,8,6,1,4,4,1,2,2,6,8,23,48,44,25,15,3,1,3,1,0,1,0
037100002/01,0,0,4,5,3,1,5,2,7,5,3,4,2,3,4,6,6,1,9,7,19,15,13,10,18,29,24,26,17,21,9,7,8,1
047115004/01,4,4,2,5,5,7,9,6,7,9,2,12,8,4,4,11,6,9,7,10,14,8,19,30,42,40,31,11,8,8,8,3,3,1
047140003/02,9,3,9,3,8,8,11,3,10,10,7,9,8,4,3,4,4,7,1,5,14,5,19,37,53,27,10,8,4,3,3,4,0,0
268072013/04,6,6,4,2,4,1,0,3,1,3,1,0,0,0,1,2,1,0,2,1,21,69,89,33,16,5,7,4,3,2,1,0,0,0
267099015/01,6,10,14,8,12,14,6,10,11,13,12,12,14,4,2,1,1,6,3,3,27,17,33,24,28,39,27,37,23,20,24,23,31,49
127115002/01/127115001,2,4,4,5,4,8,5,6,6,5,7,4,8,6,3,2,5,7,3,5,21,20,11,23,27,31,39,38,33,29,24,33,6,9
037042004/01/037042005,2,0,2,1,1,3,2,2,1,2,4,1,5,1,2,3,5,2,2,0,13,8,10,15,19,12,12,21,19,12,17,9,5,6
137035005/01/137035003/137035004,4,2,0,8,2,5,5,4,5,2,3,2,2,2,1,3,1,1,1,4,4,12,11,20,18,12,10,3,9,12,13,16,10,3
147038007/02,3,1,5,2,4,5,2,4,7,6,7,3,3,4,2,2,5,4,7,4,29,8,14,23,20,17,25,30,14,16,19,23,22,30
107082001,3,8,7,5,4,5,4,3,5,5,1,4,5,3,6,4,3,2,3,6,11,11,16,36,21,20,17,13,17,11,14,7,5,2
107085001,1,3,3,3,4,3,4,9,3,7,3,2,12,5,3,6,4,7,1,3,16,12,12,18,28,24,27,22,20,11,11,8,3,9
047161002,2,2,2,3,3,1,5,3,4,3,3,3,3,1,2,3,4,2,2,2,8,6,12,14,21,12,15,18,10,11,11,6,0,1
047085001,2,5,8,6,7,4,6,5,4,5,5,5,3,6,4,4,2,6,5,3,11,13,21,31,26,30,23,29,27,22,16,9,6,7
227026001,6,1,6,3,2,3,3,5,2,2,6,2,8,6,2,5,6,4,5,3,8,7,20,20,21,18,22,25,23,15,21,10,2,6
227052002,4,2,0,1,1,1,0,2,4,6,2,8,3,4,9,4,6,4,4,7,8,5,8,11,14,17,33,15,14,7,4,10,5,2
087040003,6,5,7,8,7,6,4,3,10,2,7,3,8,7,3,6,6,4,6,8,39,12,15,32,34,25,36,40,39,22,23,10,8,14
047009002,5,1,4,1,3,3,2,4,2,6,1,5,3,5,2,2,2,5,2,4,12,13,20,19,19,20,15,18,17,24,8,10,0,2
047299001,1,1,1,1,2,1,5,3,1,0,1,3,1,0,0,1,0,2,2,0,3,2,2,13,15,5,6,10,9,6,4,5,1,0
127119001,2,3,0,1,2,6,1,3,4,2,0,4,3,2,4,7,5,4,8,3,14,4,7,18,20,25,11,13,15,11,8,7,4,1
077020001/077020008,2,2,3,1,2,5,4,3,1,4,1,0,5,0,3,3,3,3,5,1,7,12,5,15,13,15,18,9,21,19,15,5,4,3
077100001,6,2,4,2,2,7,5,8,6,3,4,3,2,3,5,3,1,1,2,2,11,6,11,18,17,21,14,10,6,12,11,12,8,4
247098002,2,3,5,5,4,4,6,1,1,4,4,2,3,8,5,5,1,3,3,2,15,2,12,10,19,22,15,22,21,16,13,10,5,5
247066001,2,4,5,2,4,2,7,2,6,6,3,5,3,6,3,5,5,2,4,1,17,20,8,15,18,23,19,20,17,11,7,7,2,2
247006001,8,4,8,1,4,6,6,4,3,5,6,6,4,7,4,4,4,6,2,5,10,19,23,20,25,25,18,15,17,24,12,8,5,3
247060001,4,3,5,7,2,2,4,7,3,4,3,6,6,4,6,3,4,4,4,4,18,5,25,28,15,30,31,27,20,11,19,8,8,2
127006001,3,2,2,4,5,1,4,2,3,7,4,2,11,6,4,5,3,2,4,7,12,20,6,27,24,18,27,29,15,27,23,18,10,4
077042002/077042003/077042004,3,0,2,2,1,2,0,4,2,3,0,3,2,1,2,2,2,1,2,0,2,4,6,7,11,11,11,12,13,15,7,10,4,4
077042001,0,1,3,2,2,1,2,1,1,2,2,0,3,2,5,2,2,4,2,3,10,5,6,5,9,9,13,21,17,21,19,15,6,3
077162001,1,1,2,1,2,4,1,2,4,7,2,5,5,6,5,6,3,3,3,1,9,9,6,7,22,30,15,27,16,11,11,9,5,2
077140002,1,2,0,3,1,2,2,2,4,1,5,3,2,2,2,1,5,1,3,1,9,10,8,15,18,20,14,20,11,19,18,7,9,4
077142002,2,3,1,2,3,5,1,1,1,3,2,1,5,1,3,2,2,3,2,2,12,7,13,11,13,20,17,11,18,22,12,4,2,7
077158001,2,2,0,1,2,3,1,1,5,1,1,3,4,4,2,3,3,7,2,4,16,7,7,9,18,18,19,19,12,16,13,15,13,2
127058001,7,4,2,6,0,4,5,4,5,5,2,2,2,3,0,4,2,6,1,1,11,19,13,13,16,28,15,20,19,26,6,14,5,3
047193002,5,6,4,5,3,3,2,4,3,8,5,5,8,3,6,6,4,5,4,3,12,19,15,18,18,27,22,22,15,12,8,7,0,2
077055001,4,3,4,2,4,5,2,5,2,3,5,5,3,2,4,3,2,1,2,2,6,10,21,25,19,13,15,20,22,24,21,12,6,2
217066001,1,0,0,4,2,8,5,7,5,7,5,7,5,6,8,2,8,8,5,2,18,10,6,20,25,32,21,20,27,26,16,16,15,4
217089002,4,3,3,2,3,3,4,1,2,3,4,3,2,3,3,6,3,4,6,6,16,13,12,16,17,15,33,31,25,20,23,25,12,34
217143001,4,0,3,1,3,4,2,5,3,1,4,8,4,2,13,4,6,8,4,1,17,12,20,22,23,20,25,24,16,15,25,11,9,15
217057002,0,1,2,2,1,2,1,3,4,4,5,5,7,2,5,2,3,5,4,1,13,10,18,10,13,15,19,20,19,12,12,11,9,4
227008001,2,3,1,5,2,4,1,4,3,5,5,4,3,3,4,3,6,1,1,2,15,12,6,11,16,16,23,24,14,14,17,10,4,4
067081001/067084001/067084002,4,0,1,1,4,3,3,3,3,5,6,2,5,3,5,4,1,10,4,3,11,13,10,21,25,21,28,26,30,19,18,9,11,6
127048002,2,3,5,5,6,3,4,5,5,1,4,5,3,4,1,3,3,7,1,3,13,7,12,25,20,15,23,23,16,18,23,10,7,6
127059001,5,5,3,2,3,1,1,4,3,3,7,5,5,6,4,2,4,5,2,4,10,8,9,17,20,25,25,15,8,16,18,10,5,6
067109001/067109002,1,0,1,2,1,2,2,3,2,2,3,1,1,1,1,1,3,0,1,2,9,12,9,13,11,9,24,18,9,16,7,4,4,9
