sa_2022_code,white_irish,white_irish_traveller,other_white,black_or_black_irish,asian_or_asian_irish,other,not_stated
Ireland,3893056,32949,502081,76245,166206,101166,313176
147002002/02,257,3,32,30,0,1,53
167070005/01/167070001,287,0,12,1,0,0,9
087064009/03,301,0,42,2,23,1,6
087001012/02,123,3,64,13,6,10,5
167053005/01,249,0,26,14,15,0,32
227032010/01,108,0,13,1,3,3,1
267002002/04,123,0,147,65,39,19,14
187077001/02,154,0,3,0,1,0,9
047303009/01,211,0,26,1,1,5,7
207073001/02,195,0,21,0,0,0,3
267158012/06,156,0,38,48,146,18,3
087023009/01,165,0,30,3,14,8,2
247003002/01,153,0,12,2,1,0,12
247002015/02/247002020,72,0,17,0,1,0,15
067055002/01,114,5,20,3,5,18,2
267092056/02,201,11,10,4,6,4,1
267065006/01,244,0,30,0,8,7,8
267069001/06,95,0,167,7,89,30,9
267092008/01,173,0,70,0,31,16,2
037100002/01,275,0,10,0,0,2,5
047115004/01,274,0,23,16,10,1,33
047140003/02,255,0,46,0,0,1,11
268072013/04,89,2,92,15,22,19,44
267099015/01,238,1,27,7,13,3,212
127115002/01/127115001,407,2,23,0,0,2,4
037042004/01/037042005,179,0,24,0,1,3,8
137035005/01/137035003/137035004,145,0,42,0,0,13,9
147038007/02,292,0,40,9,3,10,16
107082001,273,0,12,1,0,1,0
107085001,283,0,13,0,0,0,5
047161002,185,0,9,0,0,2,1
047085001,312,0,23,0,2,8,18
227026001,270,0,19,0,1,3,3
227052002,210,0,7,0,1,0,6
087040003,430,0,22,0,2,2,6
047009002,243,0,7,0,0,1,8
047299001,93,0,14,0,0,0,0
127119001,202,1,14,0,0,0,3
077020001/077020008,196,0,3,0,0,0,13
077100001,212,0,11,0,1,0,6
247098002,231,0,12,0,0,0,11
247066001,239,1,15,0,1,1,6
247006001,287,0,17,0,2,1,12
247060001,300,0,20,0,3,0,5
127006001,306,0,14,0,0,1,20
077042002/077042003/077042004,134,0,12,0,0,0,4
077042001,135,0,39,0,1,0,17
077162001,208,0,31,0,0,0,2
077140002,198,0,21,1,2,2,1
077142002,198,0,4,0,0,0,9
077158001,214,0,16,0,0,0,3
127058001,266,0,4,0,0,1,0
047193002,273,0,12,0,0,0,4
077055001,262,0,10,0,0,0,6
217066001,327,0,19,0,1,0,1
217089002,338,0,6,0,1,8,7
217143001,286,0,32,2,2,2,10
217057002,228,2,7,1,0,1,4
227008001,215,0,22,0,0,0,9
067081001/067084001/067084002,262,0,32,0,1,3,16
127048002,274,0,6,1,0,0,9
127059001,247,0,10,0,1,0,3
067109001/067109002,154,0,11,1,1,4,12
157041002/157041004/157041003/157041001/157129002/157129001,122,0,20,0,1,1,0
157050001,160,0,27,0,0,1,3
157083001,210,0,27,0,0,6,9
157034001/157034002,131,3,3,0,0,2,5
127051001,328,0,7,2,1,1,122
127053002,361,0,22,0,1,2,2
127097003,374,0,19,0,0,1,7
217022002,291,0,22,0,2,2,7
217020002,273,0,7,0,0,0,3
037030002,433,0,25,0,0,2,7
037027001,183,6,10,0,14,0,136
037026001,365,0,8,0,5,0,2
217100001,225,1,17,0,0,0,4
217163001,372,8,16,0,3,0,1
097084001,190,0,10,0,0,0,2
077165003,72,0,12,0,0,0,1
247095002,328,0,15,0,0,0,2
097050003,151,0,8,0,0,1,5
017020001,373,0,13,0,2,1,3
247072001,359,0,13,0,2,2,24
047200001,110,0,21,0,1,3,7
047123002,139,0,25,0,1,1,3
067200002/067200003,111,0,1,0,0,0,3
037034001,218,0,12,0,0,6,8
037045001,181,0,7,5,0,0,1
097007001,300,0,13,0,0,2,12
097008001,426,3,8,0,1,0,16
017043001,261,1,12,0,1,0,20
097011002,232,0,5,0,0,3,7
047021002,80,0,35,0,1,1,4
047160003,263,1,46,0,3,7,10
047137001,377,0,52,0,3,0,25
037148001,175,0,6,0,0,0,4
037048001,106,0,12,0,0,1,24
037037001,110,0,14,0,0,0,155
107045001,250,1,9,1,0,0,14
097082001,443,0,11,0,1,1,24
017017001,328,7,19,1,4,0,3
017003001,217,0,9,1,0,0,28
047034002,283,0,34,0,0,2,23
067026001/067026005,323,0,19,0,0,1,14
217090001,138,1,17,0,0,0,21
217159002,219,0,7,0,1,1,5
077050001,53,0,2,0,0,0,0
067126002,284,0,18,0,1,4,16
067138001,379,0,15,0,5,5,2
067207001,266,0,42,0,0,1,4
217011002,223,0,10,0,1,2,8
217011001,301,0,10,0,0,0,17
217123001,134,0,8,0,1,0,10
077078009,86,0,22,3,1,5,0
077043002/077043006,126,0,14,0,0,0,0
047240002,442,3,16,1,0,1,12
227053001,199,0,29,0,0,5,5
077144002,214,0,21,0,0,3,12
077017001,350,0,18,2,0,2,10
047167002,228,0,19,0,0,0,2
227063001,217,0,12,0,1,4,3
227021001,196,0,18,0,0,0,4
047242001/047243013,239,0,18,0,1,5,10
047315003,170,0,17,0,0,0,3
047058001,312,0,13,0,2,0,11
047153002,345,1,17,0,2,7,10
217169001,266,3,22,1,0,1,2
187029001,266,0,3,0,3,0,25
047121001,251,0,14,0,0,0,8
077104006/077104007,159,0,10,0,0,3,6
128007002,199,0,1,0,1,3,15
037057007,269,0,61,9,13,2,9
128001003,272,0,11,0,0,0,3
128001007,183,0,27,2,1,2,38
128001005,204,0,10,0,0,6,12
127031004,278,2,26,8,4,2,5
127026024,285,0,9,8,5,6,9
127026042,395,0,26,0,9,0,43
127026032,236,0,28,4,32,2,165
067170013,216,0,23,0,6,7,20
128005004,89,3,18,3,23,9,34
037154006,125,7,12,0,2,12,9
067213001,189,0,23,0,6,2,13
127036003,190,5,10,1,12,0,17
128023002,215,2,10,0,5,1,80
267144002,308,5,17,0,5,2,11
267148002,218,0,7,6,2,1,21
267086010,281,0,7,0,6,6,4
257081003,293,0,18,1,9,7,2
257078021,285,10,42,3,0,26,8
167017003,282,0,29,4,23,0,34
267119006/02,131,0,54,0,13,6,71
257078024,219,0,18,0,11,0,1
087019002,304,0,15,0,9,0,5
087071021,267,0,16,6,6,3,11
247026004,254,0,19,0,0,0,10
257058005,339,7,26,2,8,5,9
247002005/247002019,168,0,48,2,0,5,28
257039016,355,0,63,2,7,5,42
087073001,206,0,8,1,1,1,7
067012002,171,2,6,0,3,1,8
067039001,231,2,6,0,0,7,0
067097005,155,0,6,0,0,4,10
067032005,206,0,16,1,2,12,3
067179007,233,0,15,0,0,2,0
067026004,323,0,21,0,0,5,19
197041002,203,0,6,0,0,2,8
237063001,437,0,19,1,0,3,6
137015003,180,0,15,0,1,1,1
057064003/057064006,108,0,4,0,1,0,7
057136004,205,1,6,0,0,0,7
057005002,176,0,4,0,0,0,2
047311002,132,0,33,0,0,0,4
047100001,264,0,12,0,1,1,13
067057011,654,3,47,11,5,9,25
067098001,169,0,10,0,2,2,4
067166001,214,0,7,0,1,0,11
067185008,209,0,20,0,1,0,3
137014001,255,0,8,0,0,0,12
137037001,206,5,26,2,0,7,9
077082006,174,0,12,0,0,0,8
077112003/077112004,125,0,8,0,1,3,1
047060001,192,0,2,1,7,1,6
047273002,236,0,8,1,0,4,5
187022001,209,0,6,0,1,4,24
237052003,199,0,11,0,2,0,7
187022002,222,0,15,0,0,5,21
167008001,452,0,32,0,0,6,75
087058001,393,0,16,0,4,3,19
197058001,116,1,16,0,0,0,4
197021005,271,1,21,0,0,3,14
047024003,92,0,10,0,0,2,2
047108001,145,0,56,0,0,1,11
047288002,162,0,16,0,0,3,3
087066037/087066038,486,2,24,0,43,2,6
247022004,232,0,25,0,0,5,6
047082001,157,0,19,0,0,1,6
047290002,171,0,12,0,0,0,14
047197001/047197003/047197005,213,0,32,0,1,6,24
047321002,160,0,16,0,3,1,4
047057002,159,0,16,0,2,1,0
047282005/047282006,140,0,8,1,1,0,3
027002002,189,0,15,0,0,1,0
027081001,157,0,9,1,0,0,6
117055001,118,0,9,0,0,0,0
237049001,171,0,10,1,0,0,3
047110002,228,1,22,1,0,0,10
047199002,216,5,21,1,1,9,4
047095002,227,0,24,0,0,0,11
077014002,274,0,7,1,0,0,9
077127007,128,0,16,1,0,8,0
077109001,236,0,15,3,1,0,9
077164001,153,0,7,0,0,1,6
077086002,186,0,9,0,0,0,5
167047001,278,0,18,0,0,2,9
167056001,188,0,17,0,1,0,3
167051002,291,0,8,0,1,4,18
047207001,323,0,43,0,0,0,9
047035003,243,0,10,0,2,2,1
077142005,211,0,12,0,1,1,6
077158002,234,0,9,0,0,1,2
037083001/037083002,130,0,22,0,1,1,12
037049001/037049002,406,0,50,0,5,1,34
037095006,141,0,11,0,3,1,3
067064002,243,0,22,1,11,3,2
157104001,170,0,17,0,0,1,2
157001002,138,0,7,1,0,1,0
167089001,232,0,6,0,0,2,8
167089002,395,0,8,0,4,4,7
137021002,165,0,2,2,0,0,4
027009003,199,0,15,0,0,0,0
027009004,217,0,9,0,6,0,7
167086001,230,0,6,0,0,3,2
027031001,342,0,25,1,4,2,10
027005001,222,0,0,0,0,0,5
047018001,336,0,31,3,4,6,4
047306002,206,0,15,1,5,0,2
077078001,128,0,16,0,0,1,4
