sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
Ireland,425974,274417,79912,541578,78409,26812,155583,27718,40496,5057,22071,22862,41039,99224
147002002/02,14,4,2,24,18,2,33,1,3,0,3,2,1,9
167070005/01/167070001,34,23,3,40,5,2,5,1,0,0,0,4,2,0
087064009/03,7,14,14,53,7,1,11,1,2,0,0,0,0,4
087001012/02,13,3,8,17,6,3,26,0,2,0,0,1,3,4
167053005/01,12,7,6,39,15,1,9,1,1,0,2,0,0,5
227032010/01,11,8,4,5,6,0,1,0,1,0,0,0,0,1
267002002/04,8,14,9,52,17,1,25,0,3,0,0,1,1,5
187077001/02,30,19,4,17,2,0,3,1,0,0,1,0,1,2
047303009/01,14,16,2,37,2,1,7,0,1,0,1,2,2,2
207073001/02,12,12,3,28,8,0,5,0,2,0,1,0,0,4
267158012/06,4,12,9,58,2,0,14,6,6,0,2,0,2,2
087023009/01,20,7,8,29,8,0,8,0,0,0,0,0,1,6
247003002/01,18,21,2,22,0,0,3,1,1,0,0,1,0,2
247002015/02/247002020,8,13,3,8,3,0,2,0,0,0,1,0,2,3
067055002/01,15,6,2,17,2,0,20,0,0,0,1,0,0,1
267092056/02,8,7,6,30,9,1,5,1,1,0,0,2,2,2
267065006/01,6,11,6,57,7,1,2,1,1,0,0,0,0,1
267069001/06,17,32,38,37,5,0,7,6,2,0,1,0,9,15
267092008/01,7,6,6,50,5,1,3,3,4,0,0,1,0,0
037100002/01,23,19,6,34,5,1,11,0,2,1,1,0,1,1
047115004/01,11,12,1,42,13,2,9,3,1,1,2,1,1,10
047140003/02,11,5,0,51,8,2,10,1,2,1,1,1,0,2
268072013/04,16,25,31,8,3,1,13,9,0,0,2,3,1,22
267099015/01,12,5,0,6,1,0,3,0,2,0,0,2,1,17
127115002/01/127115001,34,36,2,58,4,3,6,3,2,0,3,2,5,2
037042004/01/037042005,24,20,3,21,3,1,6,1,3,0,2,0,2,2
137035005/01/137035003/137035004,23,10,1,21,8,0,5,0,2,0,1,2,5,0
147038007/02,16,16,7,30,4,1,16,2,1,0,1,1,1,5
107082001,18,17,2,40,8,1,2,2,1,0,0,3,2,0
107085001,22,15,2,42,2,2,10,0,0,0,1,1,3,3
047161002,13,14,3,30,3,2,3,1,0,0,0,0,0,0
047085001,32,31,6,42,5,0,9,2,2,0,1,0,5,5
227026001,32,22,6,33,5,3,3,1,1,1,1,2,2,1
227052002,13,10,1,27,6,1,5,1,3,0,2,1,3,0
087040003,39,32,6,61,5,3,8,3,4,0,2,1,2,3
047009002,15,15,5,35,3,1,7,1,1,0,1,1,3,2
047299001,10,8,1,14,5,1,1,0,0,0,0,1,0,1
127119001,26,12,4,24,6,1,4,1,2,1,0,1,3,1
077020001/077020008,22,16,2,30,2,1,2,0,0,0,1,1,1,3
077100001,21,12,4,29,2,0,2,1,3,0,0,1,3,2
247098002,26,19,2,26,2,2,5,2,0,0,2,5,1,3
247066001,22,11,1,27,6,0,8,1,5,1,2,2,0,3
247006001,20,20,6,42,2,1,13,2,2,0,4,0,0,2
247060001,26,19,4,46,8,1,4,1,3,0,1,1,2,1
127006001,39,25,3,36,9,1,8,2,2,1,0,0,3,4
077042002/077042003/077042004,22,16,2,12,2,3,2,1,2,0,1,0,1,0
077042001,26,26,4,15,2,0,3,1,0,0,0,1,2,1
077162001,16,15,2,27,4,4,6,1,2,1,1,0,4,1
077140002,19,16,3,29,3,1,6,3,1,1,0,0,4,0
077142002,17,14,3,27,3,2,5,0,0,0,0,0,6,2
077158001,24,17,0,29,7,0,5,2,2,0,1,0,4,2
127058001,24,27,4,37,4,0,5,0,0,1,0,1,1,1
047193002,16,13,6,45,3,1,6,2,0,0,0,1,1,0
077055001,33,23,1,37,1,0,4,0,2,0,1,3,3,1
217066001,30,23,9,46,3,2,9,2,1,1,2,0,3,0
217089002,28,28,3,39,2,3,6,4,2,0,1,0,2,1
217143001,32,27,7,31,10,2,9,2,2,0,2,0,2,7
217057002,20,18,1,31,2,2,6,0,2,0,0,1,2,4
227008001,23,17,2,34,3,1,6,0,0,0,1,1,2,2
067081001/067084001/067084002,35,28,8,29,3,2,7,6,3,1,1,1,0,4
127048002,20,22,3,42,4,3,3,1,2,1,0,0,1,0
127059001,19,27,2,29,7,1,4,1,2,0,0,0,3,1
067109001/067109002,27,9,4,15,2,2,9,1,2,0,0,1,1,7
157041002/157041004/157041003/157041001/157129002/157129001,12,9,1,18,0,0,4,0,1,0,0,1,2,1
157050001,22,16,0,16,3,2,5,1,2,0,0,1,0,3
157083001,26,29,0,25,3,3,9,1,3,0,1,0,3,1
157034001/157034002,12,20,2,12,1,1,3,0,3,0,0,1,3,0
127051001,18,23,2,58,5,0,9,2,7,0,2,4,3,21
127053002,17,27,3,61,2,2,7,0,2,0,0,1,5,2
127097003,21,27,3,60,5,3,4,1,5,0,2,1,3,0
217022002,27,30,3,48,3,1,6,0,1,0,0,1,4,0
217020002,18,20,3,37,1,2,7,1,2,0,0,2,3,1
037030002,33,28,0,80,2,2,7,0,1,0,1,0,5,2
037027001,14,12,0,26,2,1,2,0,4,0,0,2,3,1
037026001,22,35,4,52,5,5,3,1,1,0,1,3,0,1
217100001,11,15,2,31,2,2,3,1,5,0,1,2,0,0
217163001,27,25,3,55,6,2,8,1,4,1,1,3,0,0
097084001,19,10,1,33,0,2,4,1,0,0,0,1,0,2
077165003,13,10,0,10,0,1,3,0,0,0,0,0,2,0
247095002,16,18,4,54,3,4,5,0,2,0,0,0,2,0
097050003,24,16,2,18,4,2,2,1,0,0,0,2,1,1
017020001,25,16,7,54,5,2,12,2,3,0,1,1,6,2
